GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101020300,"Census Tract 203, Philadelphia County, Pennsylvania",B08121_001,21174,3201,74,62,68,40,62,58
42101020400,"Census Tract 204, Philadelphia County, Pennsylvania",B08121_001,29293,5197,66,65,204,89,37,43
42101020500,"Census Tract 205, Philadelphia County, Pennsylvania",B08121_001,24583,8083,29,48,158,73,131,87
42101020600,"Census Tract 206, Philadelphia County, Pennsylvania",B08121_001,32708,6618,45,27,221,58,772,167
42101020700,"Census Tract 207, Philadelphia County, Pennsylvania",B08121_001,45426,4159,194,100,560,146,4226,480
42101020800,"Census Tract 208, Philadelphia County, Pennsylvania",B08121_001,38559,5489,38,33,141,69,1095,205
42101020900,"Census Tract 209, Philadelphia County, Pennsylvania",B08121_001,43429,6554,163,83,371,61,2583,322
42101021000,"Census Tract 210, Philadelphia County, Pennsylvania",B08121_001,47452,10647,98,84,755,157,4362,556
42101021100,"Census Tract 211, Philadelphia County, Pennsylvania",B08121_001,50571,3081,64,46,409,84,2074,219
42101021200,"Census Tract 212, Philadelphia County, Pennsylvania",B08121_001,42930,3545,39,43,421,72,1930,274
42101021300,"Census Tract 213, Philadelphia County, Pennsylvania",B08121_001,47479,7974,79,48,451,97,3448,385
42101021400,"Census Tract 214, Philadelphia County, Pennsylvania",B08121_001,35958,2479,76,58,362,91,3709,629
42101021500,"Census Tract 215, Philadelphia County, Pennsylvania",B08121_001,46327,6059,84,49,528,105,3334,355
42101021600,"Census Tract 216, Philadelphia County, Pennsylvania",B08121_001,47367,3905,20,19,300,52,1752,257
42101021700,"Census Tract 217, Philadelphia County, Pennsylvania",B08121_001,47188,6306,127,108,1320,156,5061,611
42101021800,"Census Tract 218, Philadelphia County, Pennsylvania",B08121_001,35475,11993,60,71,644,132,2754,292
